ShowNumber,AirDate,Round,Category,Value,Question,Answer
4931,2/6/2006,Double Jeopardy!,SCIENCE,$400 ,"At sea level at 70 degrees this travels 1,129 feet per second; it speeds up over 1 foot per sec. for each rising degree",sound
4931,2/6/2006,Double Jeopardy!,SCIENCE,$800 ,"The largest tree, the General Sherman in California, is this type, also called a Sierra Redwood",a sequoia
4931,2/6/2006,Double Jeopardy!,SCIENCE,"$1,200 ","(<a href=""http://www.j-archive.com/media/2006-02-06_DJ_13.jpg"" target=""_blank"">Sarah of the Clue Crew reads from the pole vault at Duke University's track in Durham, NC.</a>)  In bending an elastic solid, stress is the force causing deformation & this is the 6-letter term for <a href=""http://www.j-archive.com/media/2006-02-06_DJ_13a.jpg"" target=""_blank"">the deformation</a>",strain
4931,2/6/2006,Double Jeopardy!,SCIENCE,"$1,600 ",6 elements once known as inert gases are now known by this aristocratic name,noble gases
4931,2/6/2006,Double Jeopardy!,SCIENCE,"$2,000 ","(<a href=""http://www.j-archive.com/media/2006-02-06_DJ_15.wmv"">A honey-colored retriever named Max tries to lick Cheryl of the Clue Crew as she pets him at NC State University in Raleigh, NC.</a>)  Veterinarians refer to this area of an animal's body as the posterior or this region, from the Latin for ""the tail""",the caudal region
1800,5/29/1992,Double Jeopardy!,SCIENCE,$200 ,"In metric measurement, 10 millimeters equal 1 of these",a centimeter
1800,5/29/1992,Double Jeopardy!,SCIENCE,$400 ,"Boyle's Law says normally if you double the pressure on a gas, the volume decreases by this amount",one-half
1800,5/29/1992,Double Jeopardy!,SCIENCE,"$1,100 ",In 1973 it became the first comet studied by men in space,Kohoutek
1800,5/29/1992,Double Jeopardy!,SCIENCE,$800 ,"One mole of any substance always has the same number, 6.022 x 10<sup>23</sup> of these",atoms
1800,5/29/1992,Double Jeopardy!,SCIENCE,"$1,000 ","This resin, a natural polymer used as a varnish, is produced by insects in India and Myanmar",shellac
4306,4/28/2003,Jeopardy!,SCIENCE,$200 ,These electromagnetic rays used to take pictures of your insides were originally known as Roentgen rays,X-rays
4306,4/28/2003,Jeopardy!,SCIENCE,$400 ,This German-born American physicist won the 1921 Nobel Prize for Physics,Albert Einstein
4306,4/28/2003,Jeopardy!,SCIENCE,$600 ,"When combined with oxygen, this lightest chemical element makes water",hydrogen
4306,4/28/2003,Jeopardy!,SCIENCE,$800 ,"Also a term for someone from Warsaw, it's one of the 2 strongest points in a magnetic field",Pole
4306,4/28/2003,Jeopardy!,SCIENCE,"$1,000 ",The symbol of this radioactive element is Pu & it sounds like it's named after Mickey Mouse's dog,plutonium
2903,3/26/1997,Jeopardy!,SCIENCE,$100 ,"This gas, symbol Xe, is used in stroboscopes & high-speed camera flashes",Xenon
2903,3/26/1997,Jeopardy!,SCIENCE,$200 ,"Nearly twice as sweet as sucrose, this fruit sugar is the main sweetener in honey",Fructose
2903,3/26/1997,Jeopardy!,SCIENCE,$300 ,An archipelago is a group of islands & this is a ring of coral islands like Bikini in the Pacific,Atoll
2903,3/26/1997,Jeopardy!,SCIENCE,$400 ,"Developed by Edward Jenner, the first true vaccine was designed to protect against this disease",Smallpox
2903,3/26/1997,Jeopardy!,SCIENCE,$500 ,They're the 2 lines of latitude lying 23 1/2 degrees north & south of the Equator,Tropic of Cancer & Tropic of Capricorn
4586,7/12/2004,Double Jeopardy!,SCIENCE,$400 ,This thermometer developer discovered that the boiling point of a liquid varies with atmospheric pressure,Fahrenheit
4586,7/12/2004,Double Jeopardy!,SCIENCE,$800 ,"Of the noble gases, this one has the lowest atomic weight",helium
4586,7/12/2004,Double Jeopardy!,SCIENCE,"$1,200 ",From 1838 to 1841 this naturalist was Secretary of the Geological Society of London,Darwin
4586,7/12/2004,Double Jeopardy!,SCIENCE,"$1,600 ",This 2-letter-named moon of Jupiter is the most volcanically active body in the solar system,Io
4586,7/12/2004,Double Jeopardy!,SCIENCE,"$2,000 ",Kelp is an especially rich source of this halogen,iodine
5460,5/9/2008,Double Jeopardy!,SCIENCE,$400 ,"(<a href=""http://www.j-archive.com/media/2008-05-09_DJ_17.jpg"" target=""_blank"">Kelly of the Clue Crew demonstrates a science experiment.</a>) When the glass is pushed into the water, molecules of <a href=""http://www.j-archive.com/media/2008-05-09_DJ_17a.jpg"" target=""_blank"">this</a> don't escape, but are pressed together and act as a shield between the water and the paper, keeping it dry",air
5460,5/9/2008,Double Jeopardy!,SCIENCE,$800 ,The 2nd law of this covers equal distribution of resources; thus cream in coffee blends evenly even when not stirred,thermodynamics
5460,5/9/2008,Double Jeopardy!,SCIENCE,"$1,200 ","(<a href=""http://www.j-archive.com/media/2008-05-09_DJ_19.jpg"" target=""_blank"">Sarah of the Clue Crew demonstrates a science experiment.</a>) The iron wire heats up as electricity flows through it; if you shorten the wire, it melts a result of <a href=""http://www.j-archive.com/media/2008-05-09_DJ_19a.jpg"" target=""_blank"">this</a> electrical condition, an excess flow of charge",a short circuit
5460,5/9/2008,Double Jeopardy!,SCIENCE,"$1,600 ",Part of a corkscrew is this type of simple machine reworked into a spiral form,an inclined plane (ramp later ruled acceptable)
5460,5/9/2008,Double Jeopardy!,SCIENCE,"$2,000 ","(<a href=""http://www.j-archive.com/media/2008-05-09_DJ_21.jpg"" target=""_blank"">Sarah of the Clue Crew demonstrates a science experiment.</a>) Using a centuries-old experiment, pour water into a cup, to specifically illustrate <a href=""http://www.j-archive.com/media/2008-05-09_DJ_21a.jpg"" target=""_blank"">this</a> Newtonian law",Newton's 3rd Law of Motion
5280,7/20/2007,Double Jeopardy!,SCIENCE,$400 ,The third law of thermodynamics implies that a system can never be brought to this temperature point,absolute zero
5280,7/20/2007,Double Jeopardy!,SCIENCE,$800 ,"In 2006, Israeli scientists claimed to have created the ""ball"" type of this stormy phenomenon using a microwave oven",a lightning storm
5280,7/20/2007,Double Jeopardy!,SCIENCE,"$1,200 ","This type of ""cell"" sounds like it causes disease, but it refers to a gamete, such as an egg cell",a germ cell
5280,7/20/2007,Double Jeopardy!,SCIENCE,"$2,021 ",We went underground to learn that this unit is equal to about 6.022 x 10<sup>23</sup> molecules of a given substance,a mole
5280,7/20/2007,Double Jeopardy!,SCIENCE,"$2,000 ","In 2007 Intel announced a new faster chip design replacing silicon with this element, symbol Hf",hafnium
2683,4/10/1996,Jeopardy!,SCIENCE,$100 ,It's the more common name for sodium chloride,Salt
2683,4/10/1996,Jeopardy!,SCIENCE,$200 ,Foxglove is an example of this type of plant that completes its life cycle in 2 years,Biennial
2683,4/10/1996,Jeopardy!,SCIENCE,$300 ,"After the sun & moon, this planet is the brightest object in the sky",Venus
2683,4/10/1996,Jeopardy!,SCIENCE,$400 ,"The pH in pH scale stands for the ""potential of "" this element",Hydrogen
2683,4/10/1996,Jeopardy!,SCIENCE,$500 ,"In geometry it's a quadrilateral with 2 parallel sides; in anatomy, it's the smallest wrist bone",Trapezoid
3740,12/1/2000,Final Jeopardy!,SCIENCE,None,He invented carbonated water as a byproduct of his investigations into the chemistry of air,Joseph Priestley
1795,5/22/1992,Jeopardy!,SCIENCE,$100 ,Psychologists refer to this sense as olfaction,smell
1795,5/22/1992,Jeopardy!,SCIENCE,$200 ,The length of this on Jupiter is less than 10 hours,the day
1795,5/22/1992,Jeopardy!,SCIENCE,$300 ,Palynology seeks knowledge about past plant distribution by studying grains of this,pollen
1795,5/22/1992,Jeopardy!,SCIENCE,$400 ,"Consisting of 3 atoms, water is an example of a triatomic one of these units",a molecule
1795,5/22/1992,Jeopardy!,SCIENCE,$500 ,"American Arthur Compton's work proved the existence of these ""particles"" of light",photons
2975,7/4/1997,Double Jeopardy!,SCIENCE,$200 ,"In 1803 Luke Howard coined names for types of them, including cumulus & stratus",Clouds
2975,7/4/1997,Double Jeopardy!,SCIENCE,$400 ,Atoms of this lightest element make up about 90% of the universe,Hydrogen
2975,7/4/1997,Double Jeopardy!,SCIENCE,$600 ,"This element, symbol Ir, is one of the most corrosion-resistant metals known",Iridium
2975,7/4/1997,Double Jeopardy!,SCIENCE,$800 ,It's the branch of physics that deals with light & vision,Optics
2975,7/4/1997,Double Jeopardy!,SCIENCE,"$3,000 ","From the Latin for ""whip"", they're the whiplike parts by which certain protozoa move about",Flagellum
59,11/29/1984,Jeopardy!,SCIENCE,$100 ,A sound's repetition by reflection,an echo
59,11/29/1984,Jeopardy!,SCIENCE,$200 ,"He originated ""The Origin of Species""",Charles Darwin
59,11/29/1984,Jeopardy!,SCIENCE,$300 ,"Singular form of the word ""bacteria""",bacterium
59,11/29/1984,Jeopardy!,SCIENCE,$400 ,Negative particle that orbits an atom's nucleus,an electron
59,11/29/1984,Jeopardy!,SCIENCE,$500 ,Cytology is the study of these biological building blocks,cells
2925,4/25/1997,Double Jeopardy!,SCIENCE,$200 ,Proxima Centauri is the second-closest star to the Earth; this is the closest,The sun
2925,4/25/1997,Double Jeopardy!,SCIENCE,$400 ,"The constellation Taurus, not Cancer, contains this famous nebula",Crab Nebula
2925,4/25/1997,Double Jeopardy!,SCIENCE,$600 ,Arteries branch off into arterioles & these join to form veins,Venuoles
2925,4/25/1997,Double Jeopardy!,SCIENCE,"$2,000 ","Often quite expensive, it's considered the strongest natural fiber",Silk
2925,4/25/1997,Double Jeopardy!,SCIENCE,"$1,000 ",This gray metal is used in spark plugs & x-ray tubes as well as filaments,Tungsten
1480,1/25/1991,Jeopardy!,SCIENCE,$100 ,"When light is passed thru a prism, it produces this spread of colors",Spectrum
1480,1/25/1991,Jeopardy!,SCIENCE,$200 ,It's the branch of chemistry that deals with carbon compounds,Organic Chemistry
1480,1/25/1991,Jeopardy!,SCIENCE,$300 ,All lines of longitude are measured east or west of this line,Prime Meridian
1480,1/25/1991,Jeopardy!,SCIENCE,$400 ,The Big Dipper is part of this constellation,Ursa Major
1480,1/25/1991,Jeopardy!,SCIENCE,$500 ,The most important source of uranium & radium is this mineral ore,Pitchblende
2020,5/21/1993,Double Jeopardy!,SCIENCE,$200 ,An astroblame is a scar on the Earth's surface caused by one of these,a meteor
2020,5/21/1993,Double Jeopardy!,SCIENCE,$400 ,"These warm, dry winds can raise the temperature at the base of the Rockies as much as 40º F. in 1 hour",the Chinooks
